,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
92,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
95,UPI-ABHISHEK MITTAL-ABBUMITTAL@OKHDFCBANK-HDFC0004386-314371308662-AMOEBA BOWLING,475.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
99,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
100,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-314508787539-PAY TO ANUSHREE,180.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
101,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-351257413293-OID21128873411@PAY,13178.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
103,UPI-SRI RANGANATHA MEDIC-PAYTMQR281005050101YYUK2ZSZUZFL@PAYTM-PYTM0123456-314648997656-MEDICINE,180.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
113,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-351833618143-PAY TO ANUSHREE,20.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
117,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-315560250413-MAY FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
120,ACH D- BD-UNICEF-TPJA2809269,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
123,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
125,UPI-MR RAJU P S-RAJAPSRINIVAS171@OKICICI-IDIB000R005-315728241274-MILK,1400.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
133,UPI-HOP SALON-PAYTMQR2810050501011G3VPBZ800QR@PAYTM-PYTM0123456-316259523767-HAIR CUT,300.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
134,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
136,UPI-PAYU PAYMENTS PRIVAT-03IDNEFO0052.PAYU@INDUS-INDB0002201-316416092316-UPI,500.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
138,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-353159460197-OID21283069663@PAY,17352.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
141,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
151,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
159,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-317573126822-PAY TO ANUSHREE,50.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
161,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
176,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-318391738641-PAY TO ANUSHREE,60.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
177,UPI-MR RAJU P S-RAJAPSRINIVAS171@OKICICI-IDIB000R005-318423587398-MILK,1400.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
180,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
181,ACH D- BD-UNICEF-TPJA2880864,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
193,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
194,UPI-HOP SALON-PAYTMQR2810050501011G3VPBZ800QR@PAYTM-PYTM0123456-319234851845-BEARD TRIMMING,100.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
197,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-356153773470-OID21484971874@PAY,22000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
200,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-2@OKICICI-HDFC0000060-356224405720-BOARD GAMING,0.0,775.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
206,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
212,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-320033087386-JUNE FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
214,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
215,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-320289946614-PAY TO ANUSHREE,274.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
219,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
230,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-321144248091-DOPES,0.0,1500.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
231,UPI-SANSKRITI BHANSALI-SANSKRITIBHANSALI-2@OKHDFCBANK-HDFC0000142-321249799500-AMAZON GIFT CARD C,500.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
242,UPI-HOP SALON-PAYTMQR2810050501011G3VPBZ800QR@PAYTM-PYTM0123456-321681617165-HAIRCUT,300.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
244,ACH D- BD-UNICEF-TPJA2995574,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
249,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
255,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
261,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-322672428617-JULY FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
270,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
277,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-323129230860-FOR TAWA,0.0,1019.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
279,CHQ PAID-MICR CTS-CH-S S SOMANATH,365000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
280,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
292,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
295,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-324082920893-PAY TO ANUSHREE,10.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
296,UPI-MR RAJU P S-RAJAPSRINIVAS171@OKICICI-IDIB000R005-324191051875-MILK,1520.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
302,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-360954800506-OID21855592749@PAY,42038.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
305,UPI-SRI RANGANATHA MEDIC-PAYTMQR281005050101YYUK2ZSZUZFL@PAYTM-PYTM0123456-324485018051-MYOSPAZ TABLET,125.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
309,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-324644984324-PAY TO ANUSHREE,100.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
314,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
316,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-324812006123-AUGUST FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
317,ACH D- BD-UNICEF-TPJA3151819,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
318,UPI-KUMARA  H-9972150800@APL-KKBK0008035-324832546249-AMAZONPAY MERCHANT,50.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
330,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
334,CHQ PAID-MICR CTS-MU-INDIAN BANK PPF AC,100000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
340,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
342,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-325808136596-PAY TO BHARATPE ME,64.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
348,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
355,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
360,UPI-IMPACT GURU-IMPACTONLINE@YBL-YESB0YBLUPI-326933744978-COLLECT REQUEST FR,10199.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
365,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-327108654617-PAY TO BHARATPE ME,60.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
367,UPI-URBAN COMPANY-PAYTM-URBANCOMPANY@PAYTM-PYTM0123456-327129963687-UPI,249.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
368,UPI-URBAN COMPANY-PAYTM-URBANCOMPANY@PAYTM-PYTM0123456-327130633319-UPI,867.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
369,UPI-URBAN COMPANY-URBANCOMPANY.RZP@ICICI-ICIC0DC0099-327130713307-UPI,378.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
375,UPI-URBAN COMPANY-PAYTM-URBANCOMPANY@PAYTM-PYTM0123456-327378507303-UPI,173.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
378,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-327407083866-PAY TO BHARATPE ME,40.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
379,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-327407116970-UPI,10.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
385,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-327709614394-PAY TO BHARATPE ME,40.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
390,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
392,UPI-HOP SALON-PAYTMQR2810050501011G3VPBZ800QR@PAYTM-PYTM0123456-327866349402-HAIRCUT,300.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
399,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-328160014513-SEPTEMBER FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
402,"NEFT DR-CNRB0000412-S S SOMANATH-NETBANK, MUM-N282232681513308-RENT SEPT 2023",37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
403,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
413,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
417,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-329071394524-UPI,90.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
424,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
430,UPI-AMAZON PAY-AMAZONPAYCCBILLPAYMENT@YAPL-YESB0APLUPI-366216357499-REQUEST FROM AMAZO,45952.71,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
433,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
438,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM@OKHDFCBANK-HDFC0000013-329967606331-SPLITWISE BALANCE,381.5,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
468,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
482,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
485,IMPS-331606187625-S S SOMANATH-CNRB-XXXXXXXXX6836-RENT OCTOBER 2023,37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
486,UPI-M R PARASURAM-MR.PARASURAM-1@OKHDFCBANK-HDFC0000015-331698915774-CLOTHES SHOPPING B,9111.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
488,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM@OKHDFCBANK-HDFC0000013-331709374271-SAREE FOR GRANNY,3820.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
489,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-331719244660-RELIANCE GROCERIES,0.0,3405.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
492,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
504,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-332266173032-OCTOBER FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
508,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
531,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-369753796921-OID22530103009@PAY,93782.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
534,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
541,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-333464100426-PAY TO BHARATPE ME,55.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
549,UPI-LAKSHMI RAMACHANDRAN-MEENAKSHI.PARASURAM-1@OKHDFCBANK-HDFC0003354-333653532047-SETTLEMENT WITH SU,0.0,14910.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
557,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
567,NEFT DR-CNRB0000412-S S SOMANATH-SANDOZ - MUM-N342232774590906-NET BANKING SI -RENT NOVEMBER 23,37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
573,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
582,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
585,UPI-BHARATHI N-Q016658932@YBL-YESB0YBLUPI-335074183704-LAPTOP REPAIR,300.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
588,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
600,UPI-AMAZON PAY-AMAZONPAYCCBILLPAYMENT@YAPL-YESB0APLUPI-335764716738-REQUEST FROM AMAZO,6417.12,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
604,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-335833086561-PAY TO BHARATPE ME,70.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
608,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
630,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-336443647357-PAY TO BHARATPE ME,80.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
631,UPI-MR KUMAR  M-8548964975@APL-CBIN0282436-336447346560-AMAZONPAY MERCHANT,259.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
644,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-400318726604-NOVEMBER FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
645,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-400318747229-DECEMBER FEES,1200.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
653,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
660,NEFT DR-CNRB0000412-S S SOMANATH-SANDOZ - MUM-N008242823161916-NET BANKING SI -RENT NOVEMBER 23,37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
664,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-400890421322-DUNZO REIMBURSEMEN,0.0,400.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
666,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
667,UPI-HOP SALON-PAYTMQR2810050501011G3VPBZ800QR@PAYTM-PYTM0123456-401192265649-HAIRCUT,375.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
673,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
689,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-402156761122-PAY TO BHARATPE ME,60.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
691,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
699,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
704,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-402527350251-UPI,0.0,1657.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
708,UPI-AMAZON PAY-AMAZONPAYCCBILLPAYMENT@YAPL-YESB0APLUPI-439395077460-REQUEST FROM AMAZO,8218.71,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
724,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-403283733232-PAY TO BHARATPE ME,165.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
725,UPI-PAI PHARMA-Q16353056@YBL-YESB0YBLUPI-403286137750-UPI,100.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
732,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
738,UPI-LALITHA-9620771873@YBL-UJVN0001150-403758060615-AKSHAYA 403,106.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
740,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-403823147703-FLOWERS AND FRUITS,120.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
742,NEFT DR-CNRB0000412-S S SOMANATH-SANDOZ - MUM-N039242873354094-NET BANKING SI -RENT NOVEMBER 23,37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
755,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
768,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
777,UPI-AMAZON PAY-AMAZONPAYCCBILLPAYMENT@YAPL-YESB0APLUPI-404817515171-REQUEST FROM AMAZO,36595.6,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
779,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-404862180684-UPI,105.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
786,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
788,UPI-HOP SALON-MAB.037244002270607@AXISBANK-UTIB0000100-405218540958-UPI,375.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
789,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-405335455110-PAY TO BHARATPE ME,125.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
792,UPI-LALITHA-9620771873@YBL-UJVN0001150-405654786414-UPI,14.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
794,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
805,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-406116005148-PAY TO BHARATPE ME,70.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
808,UPI-SURENDRA KUMAR-SURENDERKUMAR86050@OKICICI-CNRB0000033-406309021469-URBAN COMPANY FRID,139.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
809,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
814,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM-3@OKHDFCBANK-HDFC0000060-406775353474-UPI,0.0,118.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
815,NEFT DR-CNRB0000412-S S SOMANATH-SANDOZ - MUM-N068242924146309-NET BANKING SI -RENT NOVEMBER 23,37000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
816,UPI-APPLE SERVICES-APPLESERVICES.BDSI@ICICI-ICIC0DC0099-406843501781-MANDATEREQUEST,5.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
818,UPI-ANUSHREEG-BHARATPE90727872361@YESBANKLTD-YESB0YESUPI-406920104193-PAY TO BHARATPE ME,135.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
